state,x,y
Ladakh, -123.0, 225.0 
Jammu & Kashmir, -235.0, 215.0 
Himachal Pradesh, -129.0, 183.0
Uttarakhand, -95.0, 150.0
Punjab, -175.0, 166.0 
Haryana, -157.0, 136.0
Rajasthan, -221.0, 99.0 
Delhi, -130.0, 121.0 
Uttar Pradesh, -51.0, 82.0 
Bihar, 74.0, 65.0 
Gujarat, -270.0, 32.0
Madhya Pradesh, -130.0, 28.0
Chhattisgarh, -18.0, -2.0
Jharkhand, 50.0, 32.0
West Bengal, 105.0, 29.0
Odisha, 37.0, -15.0
Telangana, -90.0, -64.0
Andhra Pradesh, -95.0, -109.0
Karnataka, -186.0, -118.0
Tamil Nadu, -98.0, -182.0
Kerala, -161.0, -186.0
Sikkim, 135.0, 110.0
Arunachal Pradesh, 238.0, 118.0
Assam, 227.0, 87.0
Meghalaya, 199.0, 69.0
Tripura, 210.0, 44.0
Mizoram, 246.0, 32.0
Manipur, 269.0, 58.0
Nagaland, 286.0, 90.0
Andaman & Nicobar Islands, 227.0, -164.0
Goa, -222.0, -100.0
Lakshadweep, -246.0, -181.0
Chandigarh, -147.0, 164.0
Maharashtra, -186.0, -38.0
Puducherry, -72.0, -166.0
Daman & Diu -271.0, -15.0
 Dadra & Nagar Haveli, -271.0, -29.0
